text,sentiment
chayer adda ta asolei thik thak asollllll,neutral
Boss er puro mind blowing dekha jabe 🙌 😂,positive
Laptop ta mama jossh cupai geloooooo 🙄,positive
Eid er plan faltu hoye gelo,negative
Vibe ta vibe ta faltu chinta hocche 🤮,negative
gaan ta dekhi boring atke gelam 🤮???,negative
Match ta ar ki mind blowing enjoy korlam 🙌,positive
Assignment ta masti pelam 🥰 😂,positive
Match ta mama matha nosto khrp chinta hocche,negative
friend ra thik e ache kora hoy nai,neutral
Family te moderateee mathay nai,neutral
Boss er khb darun chilo 🥰,positive
Ei ok ache kora hoy nai,neutral
Class er ekdom ghorator atke gelam,negative
khawa ta annoying atke gelam :),negative
Exam er eta to just okay thaake,neutral
Gaan ta fire palam :),positive
Movie ta kono rokom asol,neutral
reviewwwww ta onekkkta waste of time hoilo na 🤬,negative
eid er plan eta to fire hoise 🙄,positive
Khawa ta vibe ta thik thak asol ...,neutral
Assignment ta ghatiya hoye gelo 😞,negative
Chayer adda ta shunlam matha nosto khrp khb khrp,negative
phone ta sera enjoy korlam,positive
Exam er vabi nai normal choltese???,neutral
Weather ta dekhi tension er hoilo na???,negative
Family te matha nosto kharaaap khb kharaaap 😡,negative
bus e ekdom puro baje gelo ❌,negative
Amar dekhi temon blo na asol,neutral
ajker vibe ta parlam na chinta hoccheeeee 😅,negative
phone ta dekhi mojadar pelam ✨ :),positive
Ajker vabi nai valoo pelam,positive
Bazar e ekdom birokto atke gelam,negative
chayer adda ta khub extreme cupai gelo,positive
Gaan ta ar ki common hoy,neutral
exam er vabi nai adhure atke gelam 💔,negative
Movie ta bas tension er baje lagse :),negative
Phone ta super enjoy korlam ❤️,positive
boss er ki bolbo thik thak cholteseee :),neutral
exam er ar ki thik e ache thaake 😅,neutral
Amar ekdom fresh chilo ✨ 😂,positive
phone ta ghatiya khoob khrp 😡,negative
Bazar e mama kono rokom choltese,neutral
vibe ta bas kopa laglo 🥰,positive
Family te ekdom normal hoy,neutral
Ajker mone hoy jossh dekha jabe,positive
Vibe ta typical mathay nai,neutral
phone ta matha nosto kharap baje lagseee 👎,negative
Coding ta ekdom mind blowing chilo 🥳,positive
bazar e vabi nai tension er baje lagse,negative
ajker puro disgusting khb kharap 😭???,negative
Phone ta tension er atkeee gelam 💔???,negative
ei asolei thik e ache asol 😅,neutral
ajker ki bolbo shanti dekha jabe ❤️,positive
Job ta onkta masti pelam 🔥 😅,positive
Brother er kono rokom mathay nai,neutral
Ajker typical mathay nai???,neutral
Matchhhhhh ta mama tension er hoilo na,negative
Sokal ta puro chomokdar laglo ❤️,positive
Khawa ta ar ki kopa chilo ✅,positive
friend ra mojadar chilo,positive
Phone ta zero level baje lagse 🤬,negative
Oir eta to typical asol,neutral
ajker ghatiya chinta hocche,negative
Match ta mama common mathay nai,neutral
bazar e ar ki kono rokom choltese,neutral
oir mone hoy bakwas chinta hocche 😡,negative
Brother er ok ache asol 🙄,neutral
vibe ta mama valoo pelam,positive
Internet ta annoying hoilo na 😭,negative
Bazar e eta to adhure chinta hocche 😞,negative
Chayer adda ta ekdom zero level chinta hocche???,negative
job ta jossh palam 🥳 😂,positive
Phone ta vabi nai shanti cupai gelo ✨!!,positive
Internet ta mama blo enjoy korlam 🥰,positive
traffic ta ar ki chalai neya jay thaake,neutral
Exam er awesome pelam 🥳,positive
Laptop ta asolei level up enjoy korlam,positive
amar puro awesome chilo ❤️,positive
Boss er vabi nai just okay choltese!!,neutral
Movie ta ar ki puro baje bajeeee lagse 💔,negative
Ajker ekdom ghatiya hoye gelo 💔,negative
chayer adda ta zero level khb kharap 😂,negative
Internet ta bas mojadar pelam 🔥,positive
bus e temon valo na asol 🙄,neutral
Friend ra just okay mathay nai 😅,neutral
Boss er sotti fire chilo 😂,positive
Coding ta dekhi masti palam 🥳 😂,positive
Weatherrr ta ar ki slow baje lagse,negative
Bus e disgusting chinta hocche 😅,negative
Phoneee ta bas boring gelo 😭 😂,negative
Vibe ta useless atke gelam!!,negative
Job ta average kora hoy nai!!,neutral
laptop ta onkta kono rokom kora hoy nai 😅,neutral
assignment ta bas chomokdar enjoy korlam 🔥 🙄,positive
Match ta dekhi extreme dekha jabe 🔥,positive
Ajker onekta mojadar cupai gelo,positive
internet ta masti palam 💥 😅,positive
Assignment ta fatafati cupai gelo 💥 🙄,positive
Assignment ta ekdom jossh hoisechilo,positive
Assignment ta average kora hoy nai,neutral
Family te asolei brilliant palam ✨ 😂,positive
Movie ta chomokdar chilo :),positive
vibe ta faka atke gelam 😭,negative
gaan ta eta to faka baje lagse ❌,negative
Laptop ta heavy laglo ❤️,positive
Match ta puro kono rokom asol,neutral
Exam er ki bolbo jossh laglo 🔥,positive
Class er ar ki moderate choltese,neutral
Coding ta mama lit palam 🔥,positive
Bus e mone hoy useless atke gelam 😭,negative
assignment ta khuuub jossh enjoy korlam 😅,positive
friend ra ekdom level up cupai gelo 🥰,positive
job ta matha betha khuuub kharap 🤬,negative
Friend ra puro super pelam 💥,positive
Movie ta thik thak hoy 😅,neutral
traffic ta vibe ta masti dekha jabe,positive
internet ta ki bolbo adhure khoob kharap 😅,negative
exam er mone hoy chalai neya jay mathay nai,neutral
Brother er useless atke gelam 🤬,negative
ajker disgusting chinta hocche :),negative
Weather ta faltu baje lagse 🙄,negative
friend ra normal mathay nai 😅,neutral
weather ta just okay kora hoy nai,neutral
eid er plan kopa laglo,positive
Class er sotti temon bhalo na hoy,neutral
Match ta dekhi ekdom fresh palam 🙌 😅,positive
Assignment ta bas waste of time gelo :),negative
Review ta mone hoy onno rokom chilo,positive
Sokal ta mone hoy annoying gelo 💔???,negative
Weather ta vibe ta adhure hoye gelo 🤮,negative
Assignment ta mone hoy birokto hoye gelo 👎,negative
Laptop ta dekhi disgusting gelo 😡,negative
friend ra dekhi so-so mathay nai 😂,neutral
eid er plan ar ki waste of time chinta hocche,negative
Oir shunlam adhure gelo,negative
Internet ta mama thik e ache kora hoy nai???,neutral
Coding ta mone hoy bakwas hoye gelo ❌,negative
Laptop ta parlam na khub khrp 😭 😂,negative
Laptop ta ki bolbo just okay choltese???,neutral
Internet ta ekdom fresh chiloooo 🥳,positive
Amar ki bolbo matha nosto khrp chinta hocche 💔,negative
Weather ta kopa cupai gelo 💥,positive
Ei disgusting hoye gelo,negative
weather ta ok ache choltese 😂,neutral
Eid er plan shunlam top class cupai gelo 🥰,positive
Family te sotti birokto khb khrp 😭,negative
Traffic ta darun palam 🥳,positive
Result ta ar ki extreme hoyeche 😍,positive
Internet ta puro ghatiya gelo 🙄,negative
Family te dekhi kono rokom kora hoy nai :),neutral
Movie ta typical kora hoy nai :),neutral
Exam er vibe ta slow gelo ❌,negative
Exam er ekdom fresh enjoy korlam 😅,positive
amar so-so thaake,neutral
Oir ekdom ghorator khub khrp 😞 🙄,negative
ei vabi nai kopa laglo,positive
Traffic ta eta to boring khoob khrp,negative
Family te adhure gelo 😞,negative
Gaan ta vibe ta ok ache kora hoy nai 🙄,neutral
vibe ta temon bhalo na thaake???,neutral
Match ta ekdom annoying baje lagse 😡,negative
Oir ki bolbo typical kora hoy nai,neutral
Review ta ekdom fresh pelam ✅,positive
boss er sotti lit cupai gelo 🔥!!,positive
bus e mama disgusting hoilo na 🤮???,negative
job ta ar ki op palam,positive
Match ta asolei kopa dekha jabe 🥰,positive
Ajker common kora hoy nai 😅,neutral
Traffic ta sera palam 💥 😂,positive
Job ta eta to mojadar enjoy korlam ❤️,positive
Oir sotti useless gelo 💔!!,negative
Vibe ta so-so kora hoy nai???,neutral
khawaaaaaa ta mama super laglo,positive
Friend ra eta to typical choltese,neutral
Review ta vabi nai darunnnnnn hoise 🙄,positive
chayer adda ta eta to level up cupai gelo 🥳,positive
Chayerrrrrr adda ta ekdom super dekha jabe ❤️,positive
oir vibe ta puro baje hoilo na 🤬,negative
Friend ra ekdom zero level khuuub kharap 👎???,negative
Phone ta shunlam waste of time chinta hocche 💔,negative
Bazar e onekta op enjoy korlam 🔥,positive
Internet ta vabi nai agoon dekha jabe 💥,positive
bazar e sotti average thaake,neutral
bazar e bas adhure baje lagse,negative
Bazar e puro so-so kora hoy nai :),neutral
job ta level up laglo 😍!!,positive
Exam er onekhta average thaakeeeee,neutral
gaan ta disgusting hoilo na ❌ 😅,negative
Phone ta mone hoy mind blowing palam 🔥,positive
Assignment ta vabi nai average mathay nai???,neutral
eid er plan asolei chalai neya jay hoy 😂,neutral
Vibe ta ekdom jossh enjoy korlam 💥 😂,positive
family te slow atke gelam 😡,negative
Family te ar ki normal kora hoy nai???,neutral
Brother er normal kora hoy nai,neutral
Chayer adda ta top class enjoy korlam 🥰 ...,positive
boss er kopa chilo ✨ 😅,positive
Chayer adda ta matha nosto khrp baje lagse 😡 :),negative
Ei ekdom just okay choltese 🙄,neutral
Exam er bas fire hoise :),positive
Family te eta to common hoy :),neutral
laptop ta faka chinta hocche :),negative
Khawa ta adhure hoye gelo 🤮,negative
Ei sotti adhure khuuub kharap,negative
internet ta moderate koraaaa hoy nai,neutral
vibe ta ki bolboooo mind blowing palam :),positive
Brother er ki bolbo shanti laglo 🔥,positive
friend ra puro ekdom fresh hoise,positive
Result ta thik thak thaake,neutral
Class er ki bolbo waste of time khuuub kharaaap 😭 🙄,negative
Bus e adhure chinta hocche 🤬 😅,negative
Ei ekdom just okay mathay nai 😂,neutral
Class er khb tension er atke gelam 😞,negative
Ei bas chalai neya jay thaakeee,neutral
bus e faka atke gelam 😡,negative
Internet ta vabi nai ok ache kora hoy nai???,neutral
Review ta parlam na baje lagse 🤬,negative
brother er chalai neya jay thaake 🙄,neutral
Vibe ta temon valo na asol,neutral
Exam er asolei irritating atke gelam 🤬 🙄,negative
laptop ta puro faka hoilo na 😡,negative
Chayer adda ta thik thak choltese,neutral
assignment ta awesome pelam!!,positive
bazar e vibe ta so-so kora hoy nai,neutral
Traffic ta mama thikkk thak mathay nai,neutral
Amarrrr normal thaake :),neutral
Assignment ta onekkkta zero level gelo ❌,negative
eid er plan vabi nai mojadar enjoy korlam 💥,positive
Bus e dekhi zero level chinta hocche,negative
Match ta heavy laglo ...,positive
khawa ta sotti extreme laglo 🔥 :),positive
laptop ta eta to so-so mathay nai???,neutral
class er puro awesome laglo 😍,positive
traffic ta puro baje khoob khrp ❌,negative
Internet ta eta to ekdom ghorator hoilo na 💔 🙄,negative
match ta shunlam kopa chilo ❤️,positive
friend ra bas so-so kora hoy nai,neutral
Weather ta mind blowing dekha jabe 💥,positive
Phone ta ekdom ghorator khoob khrp 🤬???,negative
ajker zero level hoye gelo 😭,negative
Traffic ta awesome laglo ✅,positive
Internet ta common thaakeeeeee,neutral
Khawaaaaa ta puro waste of time chinta hocche 💔,negative
Ei bas birokto hoye gelo,negative
Khawa ta mone hoy annoying hoye gelo,negative
brother er thik e ache hoy,neutral
bus e mind blowing chilo ✨,positive
Assignment ta moderate choltese,neutral
bazar e mone hoy just okay choltese,neutral
Family te zero level gelo 🙄,negative
Chayer adda ta dekhi useless baje lagse!!,negative
Job ta awesome cupai gelooooo 🥰???,positive
ajker khoob common kora hoy nai,neutral
eid er plan blo hoyeche ✅,positive
Bazarrrrrr e eta to common choltese,neutral
Exam er puro normal thaake,neutral
Chayer adda ta common hoy,neutral
Gaan ta useless chinta hocche 🤬,negative
match ta eta to kono rokom mathay nai,neutral
Match ta parlam na atke gelam 👎,negative
Gaan ta normal hoy,neutral
boss er shunlam irritating hoye gelo 💔,negative
amar vabi nai kopa hoyeche 💥,positive
movie ta mama heavy enjoy korlam 🥳 ...,positive
phone ta dekhi birokto gelo,negative
class er temon bhalo na kora hoy nai 🙄,neutral
Chayer adda ta ekdommmmm shanti enjoy korlam 💥 😂,positive
eid er plan mone hoy boring hoilo na 😡,negative
oir parlam na baje lagse,negative
Match ta super laglo 😍 😂,positive
ei ki bolbo matha betha gelo 😅,negative
Chayer adda ta thik e ache asol ...,neutral
Amar adhure hoye gelo 👎,negative
Friend ra puro thik e ache thaake!!,neutral
Coding ta adhure gelo 😡 😅,negative
job ta bas so-so thaake!!,neutral
sokal ta sera dekha jabe 🙌 😅,positive
result ta faltu baje lagse 😭,negative
bazar e eta to typical asol ...,neutral
sokal ta ekdom chalai neya jay hoy,neutral
Exam er ki bolbo average kora hoy nai!!,neutral
internet ta sotti moderate asol???,neutral
Ei eta to typical kora hoy nai???,neutral
eid er plan puro kopa enjoy korlam 😍 😂,positive
Laptop ta vabi nai temon valo na kora hoy nai,neutral
Phone ta dekhi onno rokom palam,positive
assignment ta onkta chomokdar pelam,positive
Oir average kora hoy nai 🙄,neutral
boss er ok ache asol,neutral
Amar vabi nai puro baje chinta hocche 😞,negative
Review ta mama normal kora hoy nai,neutral
Ajker mone hoy temon blo na kora hoy nai,neutral
Class er sotti lit hoise 😅,positive
laptop ta sera hise ✨ 😅,positive
ei dekhi temon bhalo na choltese???,neutral
match ta normal hoy 😅,neutral
bazar e bas jossh enjoy korlam ✨,positive
Friend ra faltu gelo 🤮,negative
Review ta dekhi top class dekha jabe ✅,positive
movie ta ki bolbo super dekha jabeee 😍,positive
vibe ta ekdom fresh enjoy korlam 🥰 😂,positive
Exam er thikkkk e ache asol,neutral
Exam er brilliant cupai gelo 😍 :),positive
laptop ta tension er hoye gelo,negative
Laptop ta ar ki ekdom fresh cupai gelo 🥳,positive
Review ta dekhi agoon cupai gelo ✅,positive
traffic ta sotti thik thakkkkk mathay nai!!,neutral
result ta matha nosto kharaaap chinta hocche 😞,negative
Assignment ta vabi nai extreme enjoy korlam ✅,positive
Laptop ta bas kono rokom hoy???,neutral
Assignment ta mone hoy so-so thaake,neutral
internet ta useless gelo 😡,negative
eid er plan khuuub bhalo enjoy korlam 😍,positive
Coding ta puro so-so hoy!!,neutral
Match ta shunlam sera enjoy korlam 💥 :),positive
class er ar ki fire pelam 🙌 😂,positive
Family te annoying atke gelam 😞 ...,negative
ei puro ekdom fresh palam 🥳???,positive
khawa ta asolei matha nosto kharaaap khb kharaaap ❌,negative
Gaan ta average asol,neutral
bazar e bas kopa pelam???,positive
ajker bas typical choltese!!,neutral
laptop ta chomokdar palam ❤️,positive
Traffic ta khb ghatiya hoye gelo ...,negative
Assignment ta vibe ta puro baje chinta hocche,negative
friend ra slow hoilo na 😡,negative
Brother er onno rokom palam,positive
laptop ta mama normal choltese,neutral
Ei onekkkta mind blowing pelam 🥰,positive
family te onekta jossh dekha jabeeeeee 🔥,positive
family te vibe ta common mathay nai,neutral
Brother er ar ki brilliant hoise ✅,positive
Phone ta so-so hoy,neutral
Boss er fire dekha jabe 💥,positive
ei vabi nai brilliant dekha jabe,positive
movie ta eta to typical asol,neutral
Internet ta ekdom ghorator chinta hocche 🤬,negative
assignment ta average kora hoy nai,neutral
Brother er eta to moderate kora hoy nai???,neutral
Boss er asolei just okay mathay nai,neutral
exam er sera dekha jabe 🥳 ...,positive
Sokal ta ki bolbo ekdom ghorator hoilo na 💔 :),negative
family te dekhi typical mathay nai,neutral
Friend ra ekdom fresh chilo 💥,positive
Oir ar ki awesome hoisechilo,positive
assignment ta ar ki ekdom ghorator hoilo na :),negative
assignment ta sotti moderate mathay nai,neutral
Khawa ta onekta moderate hoy 😅,neutral
Exam er irritating baje lagse 😡,negative
Job ta mama average mathay nai :),neutral
Eid er plan dekhi valoo palam 🥳,positive
traffic ta temon blo na mathay nai 😂,neutral
assignment ta faltuuuu gelo ❌,negative
gaan ta vabi nai so-so kora hoy nai :),neutral
chayer adda ta ok ache thaake 😂,neutral
Eid er plan ekdom waste of time hoye gelo 😞,negative
Oir mama thik e ache kora hoy nai,neutral
assignment ta vabi nai ekdom fresh pelam 😍 🙄,positive
Internet ta dekhi faka gelo,negative
Laptop ta ekdom puro baje khub kharap ❌,negative
Job ta chalai neya jay kora hoy nai,neutral
Assignment ta ki bolbo kono rokom hoy 😅,neutral
Movie ta matha nosto khrp chinta hocche 😭 :),negative
Laptop ta sera hoisechilo,positive
boss er ki bolbo just okay thaake ...,neutral
Khawa ta shunlam matha nosto khrp atke gelam :),negative
Boss er shunlam faka khub khrp,negative
Vibe ta ekdom sera pelam,positive
Oir bas awesome laglo 🥳???,positive
Family te mama matha betha gelo 🤬,negative
Bus e vabi nai matha nosto khrp khoob khrp,negative
Family te mama just okay hoy,neutral
Result ta op enjoy korlam 🙌,positive
Friend ra mama thik e ache mathay nai,neutral
Gaan ta shunlam fatafati dekha jabe ✨,positive
boss er shanti laglo???,positive
chayer adda ta boring atke gelam,negative
Laptop ta bas common thaake,neutral
Amar lit palam 🥳,positive
Internet ta just okay hoy,neutral
Oir puro zero level khoob kharap 💔,negative
Bus e chalai neya jay asol,neutral
brother er ki bolbo so-so asol,neutral
Phone ta shunlam thik thak mathay nai,neutral
Ajker asolei lit palam 🥳 😂,positive
bus e extreme dekha jabeeee 🔥 😅,positive
Brother er fatafati pelammm 🥰,positive
Movie ta chalai neya jay mathay nai,neutral
Review ta vabi nai chalai neya jay kora hoy nai,neutral
Laptop ta top class dekha jabe,positive
Amar khoob so-so asol,neutral
Job ta khb fire hoisechilo ✨!!,positive
Job ta ar ki ghatiya hoye gelo 🤮,negative
Coding ta moderate thaake,neutral
amar moderate asol,neutral
Assignment ta khoob shanti palam 🔥 ...,positive
assignment ta vibe ta birokto hoilo na ❌,negative
vibe ta puro chomokdar palam 💥 ...,positive
result ta op chilo 😅,positive
coding ta eta to kono rokom thaake :),neutral
Coding ta puro bajeeeee hoilo na 👎,negative
Class er faka gelo 😡,negative
Laptop ta chalai neya jay mathay nai,neutral
family te dekhi op chilo 🙌,positive
Vibeeeeee ta matha nosto kharaaap gelo,negative
assignment ta temon blo na hoy,neutral
Boss er mone hoy ok ache choltese :),neutral
Ajker mama kono rokom hoy :),neutral
Class er bas masti hoisechilo 😅,positive
Brother er ekdom matha nosto khrp atke gelam 👎 🙄,negative
Class er bas faka chinta hocche 🤮,negative
Ajker thik thak asol 🙄,neutral
Bazar e useless gelo 😡,negative
vibe ta khuuub heavy cupai gelo ❤️,positive
Bazar e matha betha atke gelam 😭 :),negative
Bus e khub jossh palam 🔥 ...,positive
Brother er vibe ta mind blowing enjoy korlam 🥰,positive
review ta moderate hoy 😅,neutral
bus e vabi nai puro baje hoye gelo 👎,negative
Khawa ta mojadar chilo!!,positive
Sokal ta mone hoy moderate choltese!!,neutral
bus e eta to just okay thaake,neutral
Phone ta zero level baje lagse 🤮 ...,negative
vibe ta temon bhalo na hoy ...,neutral
exam er puro puro baje hoye gelo 😭,negative
Job ta mama disgusting gelo 🤮,negative
boss er birokto gelo 😭 :),negative
vibe ta eta to common mathayyy nai,neutral
Sokallllll ta tension er hoye gelo 😡!!,negative
Weather ta common mathay nai,neutral
Brother er mone hoy sera laglo 🙌,positive
Bazar e vabi nai mojadar pelam 🙄,positive
Ei bas chomokdar cupai gelo,positive
laptop ta ar ki average hoy :),neutral
assignment ta ekdom jossh chilo 🥰,positive
friend ra khub normal choltese!!,neutral
Friend ra eta to kono rokom choltese!!,neutral
Review ta mama fire palam 🥳,positive
Match ta matha betha chinta hocche,negative
Job ta ki bolbo lit cupai gelo 🙌!!,positive
Friend ra asolei tension er hoye gelo,negative
Bus e vabi nai thik thak hoy :),neutral
sokal ta mama brilliant dekha jabe 💥,positive
amar shunlam just okay mathay nai,neutral
khawa ta top class enjoy korlam ✨,positive
Ei typical mathay nai!!,neutral
Weather ta thik e ache thaake!!,neutral
Movie ta khoob disgusting hoilo na,negative
Class er shunlam level up pelam 🙌,positive
class er asolei common mathay nai!!,neutral
Match ta vibe ta bakwas atke gelam 🤬,negative
Amar mone hoy annoying baje lagse,negative
Ei dekhi heavy hoise!!,positive
Chayer adda ta vibe ta ok ache choltese!!,neutral
assignmenttt ta kono rokom asol,neutral
movie ta sotti top class chilo 🥳,positive
bus e thik thak kora hoy nai,neutral
Match ta dekhi op enjoy korlam ❤️ 🙄,positive
brother er ar ki average choltese???,neutral
bus e ki bolbo chalai neya jay asol 😂,neutral
Review ta ar ki awesome cupai gelo ✨ ...,positive
Gaan ta adhure hoye gelo 👎!!,negative
Ajker normal hoy!!,neutral
brother er darun chilo ❤️,positive
exam er mama ghatiya hoye gelo,negative
assignment ta agoon chilo 🔥,positive
Amar bas mojadar pelam 🔥???,positive
Family te asolei chomokdar hoyeche 🥰,positive
laptop ta mone hoy kono rokom thaake,neutral
Chayer adda ta sotti disgusting chinta hocche 😭,negative
Family te useless baje lagse 😞!!,negative
Amar sotti lit cupai gelo ✨ 😅,positive
Sokal ta eta to agoonnnnnn chilo,positive
Sokal ta onkta useless atke gelam 👎,negative
Movie ta faka chinta hocche,negative
Chayer adda ta bas disgusting baje lagse!!,negative
Class er shunlam darun hoise 🥳,positive
Class er mone hoy darun palam 🥰,positive
Bazar e shunlam matha nosto kharaaap baje lagse 😭 :),negative
Internet ta ar ki zero level chinta hocche ❌ 😂,negative
Friend ra mone hoy waste of time atke gelam 💔,negative
weather ta puro common thaake???,neutral
Brother er moneeeee hoy heavy cupai gelo,positive
Laptop ta ki bolbo ekdom fresh palam ...,positive
Vibe ta mama op enjoy korlam 🔥 😂,positive
Ei vibe ta lit dekhaaaaa jabe,positive
Khawa ta ar ki onno rokom cupai gelo ✨ :),positive
amar ki bolbo chomokdar enjoy korlam,positive
Eid er plan lit chilo 🔥,positive
Job ta dekhi top class dekha jabe ✅???,positive
chayer adda ta vibe ta kono rokom choltese,neutral
Movie ta eta to chalai neya jay asol,neutral
friend ra common mathay nai!!,neutral
Friend ra mama adhure gelo 🤮 😅,negative
Boss er annoying chinta hocche 😡,negative
Family te puro temon blo na mathay nai :),neutral
Result ta waste of time baje lagse 😞???,negative
Job ta useless baje lagse 💔,negative
internet ta ar ki shanti enjoy korlam ✅,positive
Khawa ta ar ki shanti chilo ❤️ 🙄,positive
Family te heavy dekha jabe 🙌,positive
Bazar e dekhi ok ache kora hoy nai ...,neutral
Amar puro typical choltese???,neutral
Brother er vabi nai average mathay nai,neutral
Class er vibe ta chalai neya jay hoy,neutral
Job ta fire enjoy korlam 🔥???,positive
coding ta chalai neya jay kora hoy nai,neutral
Laptop ta mama common hoy,neutral
Result ta dekhi agoon enjoy korlam 🥳,positive
weather ta eta to shanti cupai gelo 😍,positive
review ta vabi nai common mathay nai,neutral
Movie ta sotti onno rokom laglo ✨,positive
class er adhure khub khrp :),negative
Review ta moneeeeee hoy mojadar hoisechilo 🥳,positive
Ei khb average hoy,neutral
codingggggg ta puro mind blowing laglo 💥,positive
Movie ta ar ki temon valo na kora hoy nai,neutral
Sokal ta sera pelam,positive
Result ta birokto hoye gelo 😞,negative
Laptop ta ar ki thik thak mathay nai???,neutral
Bazar e puro temon valo na asol ...,neutral
movie ta ki bolbo temon valo na hoy???,neutral
Result ta ki bolbo ghatiya atke gelam ❌!!,negative
gaan ta so-sooooo asol,neutral
Khawa ta dekhi faka baje lagse 👎,negative
laptop ta useless gelo 🤮,negative
Job ta ar ki common choltese,neutral
Vibe ta mama chalai neya jay cholteseeee ...,neutral
Bus e vabi nai annoying hoye gelo ❌,negative
Bus e ki bolbo annoying hoiloooooo na :),negative
Boss er sera palam ✅,positive
Family te mama extreme dekha jabe,positive
laptop ta puro thik e ache choltese,neutral
Ajker asoleiii agoon hoise ✨,positive
traffic ta ok ache hoy,neutral
boss er agoon cupai gelo 😍,positive
result ta puroooooo thik thak thaake,neutral
Khawa ta konooo rokom choltese :),neutral
boss er mama fatafatiiiii palam 😍,positive
Weather ta sotti mojadar pelam 🥳,positive
phone ta mone hoy zero level khuuub kharap ❌ ...,negative
review ta puro baje hoye gelo,negative
Amar just okay choltese ...,neutral
internet ta super cupai gelo 🔥 😅,positive
Laptop ta asolei common mathay nai,neutral
Match ta ar ki lit pelam ❤️,positive
Result ta waste of time gelo,negative
Match ta matha betha gelo 💔,negative
bazar e ar ki ok ache mathay nai,neutral
